Subject,"CZIB number","Issue date","Valid until","Valid until description",Status,Revision,"Affected Airspace","Affected Country",Applicability,"Applicability description",Description,Recommendation(s),"Referenced publication(s)"
"Airspace of Pakistan – Karachi and Lahore Flight Information Regions",CZIB-2018-02R15,30/04/2024,31/10/2024,,Active,"
31/01/2024 - The CZIB validity was extended until 30 April 2024. No changes to the content.
23/05/2023 - German AIC 07/23 issued on 18 May 2023 superseding AIC 05/23
20/07/2023 - German AIC 12/23 issued on 13 July 2023 superseding AIC 09/23.
28/07/2023 - The CZIB validity was extended until 31 January 2024. No changes to the content.  

","Pakistan airspace, Karachi Flight Information Region (FIR OPKR) and Lahore FIR (OPLR). 
",Pakistan,"Applies to operators",,"Due to the current security situation in Pakistan with the presence of violent non-state actor groups with confirmed anti-aviation weaponry, possibly MANPADS (man-portable air-defence systems), there is a continued possible threat to civil aviation resulting in a HIGH risk to operation at altitudes below FL 260.  
Additionally, Kashmir region remains the site of territorial dispute with sporadic military operations posing a potential inadvertent risk to civil aviation due to a potential risk for misidentification in case of military escalation, particularly in the FIR Lahore (OPLR). 
","EASA advises air operators not to conduct flights over FIR Karachi (OPKR) and FIR Lahore (OPLR) below FL 260. 
Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and Warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
","


AIC France Circular A 24/22 issued 24 November 2022 (see Appendix 1)
German AIC 12/23 issued on 13 July 2023 (see Appendix 2)
UK issued AIP Amendment 08/22 (effective date 11 August 2022) (see Appendix 3)

"
"Airspace of Somalia ",CZIB-2017-05R15,30/04/2024,31/10/2024,,Active,"
31/01/2024 - The recommendations were amended in order to ensure consistency with the description part. No additional changes were introduced.  
1/10/2023 - The validity of the CZIB was extended until 30 April 2024. No additional changes were introduced.  
20/07/2023 - German AIC 12/23 issued on 13 July 2023 superseding AIC 09/23.
23/05/2023 - German AIC 07/23 issued on 18 May 2023 superseding AIC 05/23. Canada AIC 13/23 issued on 18 May 2023 replacing AIC 3/23.
28/04/2023 - The validity of the CZIB was extended until 31 October 2023. Minimum FL250 was changed to FL260 for consistency purposes.  

","Somalia airspace, below Flight Level (FL) 260.
",Somalia,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. Due to the hazardous situation, with the presence of terrorist organisations with confirmed anti-aviation weaponry, possibly MANPADS (man-portable air-defence systems) and ongoing military operations, it is assessed that the risk of operation and overflight below FL 260 is HIGH.
","EASA recommends air operators not to conduct flights over Somalia at or below FL 260. 
Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authorities, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones. Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
","


United Kingdom AIP ENR 1.1 issued 15 July 2021 (see Appendix 1)
United States Federal Aviation Administration SFAR 107 issued 13 December 2017 and NOTAM KICZ A0028/19 issued 11 December 2019 (see Appendix 2)
AIC France Circular A 24/22 issued 24 November 2022 (see Appendix 3)
German AIC 12/23 issued on 13 July 2023 (see Appendix 4)
Transport Canada AIC 13/23 issued 18 May 2023 (see Appendix 5)

"
"Airspace of Syria",CZIB-2017-03R14,30/04/2024,31/10/2024,,Active,"
31/10/2023 - The validity of the CZIB was extended until 30 April 2024. No additional changes were introduced. 
20/07/2023 - German AIC 12/23 issued on 13 July 2023 superseding AIC 09/23.
23/05/2023 - German AIC 07/23 issued on 18 May 2023 superseding AIC 05/23. Canada AIC 13/23 issued on 18 May 2023 replacing AIC 3/23.
28/04/2023 - The validity of the CZIB was extended until 31 October 2023. Recommendations were aligned with the description of the CZIB.

","Syrian airspace, all altitudes.
",Syria,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. Due to the remaining hazardous security situation, with the presence of terrorist organisations and ongoing military operations, there is a risk of both intentional targeting and misidentification of civil aircraft. The presence of a wide range of ground-to-ground and dedicated anti-aviation weaponry poses a HIGH risk to operations at all flight altitudes.
","EASA recommends not to fly within the airspace over Syria at all altitudes and flight levels. Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate.Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version). 
","


United Kingdom AIP ENR 1.1 issued 16 June 2022 (see Appendix 1)
United States Federal Aviation Administration SFAR 114 issued 27 November 2020, KICZ NOTAM A0053/20 issued 27 November 2020, KICZ NOTAM A0009/18 issued 14 April 2018 & & FAA Background Information issued 13 April 2018 (see Appendix 2)
AIC France Circular A 24/22 issued 24 November 2022 (see Appendix 3)
Germany AIC 12/23 issued on 13 July 2023 (see Appendix 4)
Transport Canada AIC 13/23 issued on 18 May 2023 (see Appendix 5)

"
"Airspace of Yemen – Sana’a Flight Information Region",CZIB-2017-07R14,30/04/2024,31/10/2024,,Active,"The validity of the CZIB was extended until 31 October 2024, the description and recommendation were updated. Referenced publications were removed for consistency purposes. 
","Airspace of Yemen, Sana’a Flight Information Region (FIR OYSC), all altitudes, except all routes located in the maritime part of FIR SANAA (OYSC) east of route B400.
",Yemen,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. Considering the hazardous security situation resulting from ongoing high intensity military operations, political instability and the presence of terrorist groups with access to sophisticated anti-aviation weaponry, the risk posed to operations within the airspace of Yemen, Sana’a FIR, at all altitudes, is assessed to be HIGH. The risk for all routes located in the maritime part of FIR SANAA (OYSC) east of route B400 (included) is assessed to be MEDIUM.
","EASA recommends to avoid operations in the airspace of Yemen, Sana’a FIR, at all altitudes and flight levels, except for all routes located in the maritime part of FIR SANAA (OYSC), east of route B400 (included), where operators are recommended to exercise caution at all flight levels.Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications issued by Yemen, or on their behalf by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities.
","

Aeronautical Publications issued by Yemen, or on their behalf by the Aviation Authorities of the neighbouring States, or by the State of Operator.
"
"Israel and neighbouring airspace","2023-03 R3",06/12/2023,30/04/2024,"30/04/2024, unless reviewed earlier. 
",Withdrawn,"06/12/2023 - This CZIB revises EASA CZIB 2023-03 R2 dated 14 November 2023. The affected airspace was amended and the validity of the CZIB was extended until 30 April 2024. No other changes were made. 
14/11/2023 - This CZIB revises EASA CZIB 2023-03 R1 dated 30 October 2023. The validity of the CZIB was extended until 31 December 2023. The description, affected airspace and recommendations were updated.
31/10/2023 - This CZIB revises EASA CZIB 2023-03 dated 8 October 2023. The validity of the CZIB was extended until 8 December 2023 and the description was updated. No changes to the Recommendations. 
","FIR TEL AVIV (LLLL), and portions of FIR AMMAN (OJAC), FIR JEDDAH (OEJD), FIR CAIRO (HECC) corresponding to 120 NM from the city of Aqaba.
","Israel, Jordan, Saudi Arabia, Egypt","Applies to operators","Air operators:-    subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).-    third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators). 
","This CZIB is issued based on information currently available to EU Member States and EU institutions in order to share information which is considered necessary to ensure the safety of flights over zones of interest. 
 
Following the Hamas attack against Israeli civilians and military forces on 7 October 2023, a  conflict has broken out between Hamas-led Palestinian armed groups and Israel. The conflict involves rockets and drones launches from the Gaza Strip with Israeli airstrikes and artillery fire. Israel air-defence systems have been systematically activated and reportedly shot down the majority of the incoming projectiles.
 
Since 27 October 2023, the Israeli Defence Forces (IDF) gradually expanded ground operations in the Gaza Strip.
 
Since the beginning of the conflict, rockets and weaponised drones have also been launched by Hezbollah from southern Lebanon at northern Israel, triggering IDF response strikes on Hezbollah positions inside the Lebanon South Governorate. While the armed clashes occurred close to the Israeli – Lebanese border, incidents in the areas over 40 km from both sides of the border were also observed.  
 
Cruise missiles and military-grade weaponised drones launched by the Houthis from Yemen towards south Israel create additional concerns for the safety of airspace in the region, affecting in particular the Red Sea and adjacent airspace over the neighbouring countries, including southern Jordan, western Saudi Arabia and eastern Egypt. 
 
The recent developments and the potential for escalation in armed clashes, affecting the safety of airspace in the region, are continuously monitored by EASA and the European Commission. 
 
The Civil Aviation Authority of the State of Israel is actively managing the risks to civil aviation in its airspace and at its main airports, by issuing and maintaining NOTAMs, and by providing tactical deconfliction. It is therefore considered that those risks are, for the time being, effectively managed and mitigated by the Israeli State authorities. Nevertheless, airspace users need to be aware of the complexity and possible rapid evolution of the current situation, and on-going rocket launches potentially affecting the safety of the airspace and of aircraft on the ground.
 
Due to the unstable situation, EASA will continue to closely monitor the situation, with a view to assess whether there is an increase or decrease of risks for EU aircraft operators as a result of the evolution of the threat.
 
Air operators are requested to report as soon as possible any observed incident affecting potentially safety of airspace through the EU civil aviation occurrence reporting mechanism so that  Competent Authorities would be in position to share this information with EASA and the Commission without delay.  
","Air operators should:

Take potential risks into account when operating in the affected airspace;   
Monitor airspace developments in the region and follow all available aeronautical publications, in particular airspace closures or restrictions issued by State authorities, alongside available guidance or direction from their national authorities, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones; 
Ensure that a robust risk assessment is in place together with a high level of contingency planning for their operations and be ready for short notice instructions from the State authorities. 

","

Aeronautical Publications issued by the Aviation Authorities of the affected countries and by the Aviation Authorities of the State of Operator.
"
"Airspace of Egypt, North Sinai Governorate",CZIB-2017-09R13,31/10/2023,31/12/2023,,Withdrawn,"
31/10/2023 - The validity of the CZIB was extended until 31 December 2023. No additional changes in relation to the content were introduced.
8/04/2023 - The validity of the CZIB was extended until 31 October 2023. No additional changes in relation to the content were introduced.
23/05/2023 - German AIC 07/23 issued on 18 May 2023 superseding AIC 05/23
20/07/2023 - German AIC 12/23 issued on 13 July 2023 superseding AIC 09/23.

 
","Egypt airspace, Cairo Flight Information Region (FIR HECC), North Sinai Governorate
",Egypt,"Applies to operators",,"The Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB. This CZIB is issued on the basis of information available to EU Member States and EU institutions. Due to the hazardous situation, it is assessed that the risk of operation and overflight over North Sinai Governorate below FL250 is HIGH.
","Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version). 
","


United Kingdom AIP ENR 1.1 issued 16 June 2022 (see Appendix 1)
German AIC 12/23 issued on 13 July 2023 (see Appendix 2)

"
"Airspace of Ethiopia – Tigray Region",2022-02R2,30/09/2022,30/04/2023,"Until 30/04/2023, unless reviewed earlier.
",Withdrawn,"
06/10/2022 - Germany (LBA) issued AIC 20/22 superseding AIC 17/22
24/11/2022 - French DGAC issued AIC France A24/22 
16/03/2023 - validity extended until 30/04/2023. No changes to the content. 

","All altitudes / flight levels of the FIR ADDIS ABABA (HAAA) over the Tigray Region of northern Ethiopia. 
",Ethiopia,"Applies to operators","Air operators:
-    subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).
-    third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators).
 
","This CZIB is issued on the basis of information currently available to EU Member States and EU institutions. 
Due to the current volatile situation in the region caused by the on-going conflict between the Ethiopian National Defense Forces (ENDF) and the Tigray People’s Liberation Front (TPLF), there is a continued possible threat to civil aviation.
The primary threat to civil aviation stems from anti-aircraft artillery (AAA) systems, MANPADS and SAM systems being available in the region. On the basis of the existing tensions and until a comprehensive political and military agreement is reached, there is continuous risk to aviation due to potential misidentification or miscalculation by the parties engaged, when using anti-aircraft weaponry.
The presence and possible use of a wide range of weapon systems poses a HIGH risk for civil flights operating at all altitudes and flight levels.
 
Note: This Conflict Zones Information Bulletin (CZIB) is issued by EASA, acting in accordance with Art. 88 of Regulation (EU) 2018/1139. 
","In view of the existing risk posed by air-defence capabilities in the region, EASA recommends not to fly within the airspace over Tigray Region in northern Ethiopia and to exercise caution when operating in the airspace of bordering regions.
Operators should take this information and any other relevant information into account in their own risk assessments, along with any available guidance or directions from their national authority, as appropriate.
Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
 
","


French AIC 24/22 issued on 24 November 2022 (see Appendix 1)
German LBA AIC 20/22 issued on 6 October 2022 (see Appendix 2)
UK CAA NOTAM EGPX/EGTT/EGGX V0024/22 issued on 4 August 2022 (see Appendix 3)
Transport Canada AIC 16/22 issued on 22 November 2021 (see Appendix 4)
	 

"
"Airspace of Saudi Arabia – Jeddah Flight Information Region",CZIB-2018-01R9,29/04/2022,31/10/2022,,Withdrawn,"
29/04/2022 - The CZIB was revised and the validity period was extended
12/05/2022 - French DGAC issued AIC France A10/22 canceling and superseding A 18/21
16/06/2022 - Transport Canada issued AIC 16/22 replacing AIC 37/21
16/06/2022 - Germany (LBA) issued AIC 14/22 superseding AIC 08/22 
11/08/2022 - Germany (LBA) issued AIC 17/22 superseding AIC 14/22 
06/10/2022 - Germany (LBA) issued AIC 20/22 superseding AIC 17/22

","Saudi Arabia airspace, Jeddah Flight Information Region (FIR OEJD). 
","Saudi Arabia","Applies to operators",,"The Agency draws the attention of the aviation community to the above referenced information, copy of which is attached to this CZIB
","Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and Warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version). 
","


AIC France Circular A 10/22 issued 12 May 2022 (see Appendix 1)
German AIC 20/2022 issued 6 October 2022 (see Appendix 2)
Transport Canada AIC 16/22 issued 16 June 2022 (see Appendix 3)
Kingdom of Saudi Arabia AIP SUP 08/21 issued 01 July 2021 (see Appendix 4)

"
"Airspace of Iran",CZIB-2020-01R2,30/10/2021,,,Withdrawn,"
16/07/2021 - This CZIB is revised to extend the validity period and to amend reference publications
25/07/2021 - UK DfT extends its NOTAM referring to hazardous situation airspace security warnings for Iran through 16 Oct. 2021 (NOTAM EGTT V0012/21)
12/08/2021 - Transport Canada issued a new iteration of the AIC on Conflict Zone Overflights (AIC 26/21)
07/10/2021 - German DFS issued a new iteration of the AIC on Conflict Zone Overflights (AIC 14/21)

"," Iran airspace at altitudes below Flight Level (FL) 250.
",Iran,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. Due to the hazardous security situation, and poor coordination between civil aviation and military operations,  there is a risk of misidentification of civil aircraft.
Due to the presence of various advanced air-defence systems, it is advised to be cautious with the risk associated to civil aviation. The risk to operations is assessed to be HIGH for Flight Levels below 250.
Additionally, the Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB.
","Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version). 
","


Special Federal Aviation Regulation (SFAR) 117 – Prohibition Against Certain Flights in the Tehran Flight Information Region (FIR) (OIIX) and KICZ A0050/20 issued 29 October 2020 (see Appendix 1)
Transport Canada AIC 26/21 issued 12 August 2021 (see Appendix 2)
United Kingdom AIP ENR 1.1 issued 15 July 2021 (see Appendix 3)
German AIC 14/21 issued 07 October 2021 (see Appendix 4)
AIC France Circular A 07/21 issued 20 May 2021 (see Appendix 5)
India DGCA Notice issued 22 June 2019 (see Appendix 6)
UAE Safety Decision 2020-01 issued 08 January 2020 (see Appendix 7)
Swedish Transport Agency AIC A2/2020 issued 30 January 2020 (see Appendix 8)

"
"Airspace of Kenya",CZIB-2016-01R4,03/09/2018,,,Withdrawn,"This CZIB is revised to extend the validity and to update reference publications.
","Kenyan Airspace and territory Flight Information Regions (FIR).
",,"Applies to operators",,"The Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB.
","This CZIB is issued on the basis of information available to EU Member States and EU institutions.
The presence of terrorist groups with the military capabilities (including anti-aircraft weaponry) is assessed to pose a HIGH risk to operations within Kenyan airspace and territory FIRs at altitudes below FL 250.
Additionally, the Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB.
Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and Warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
","


United Kingdom NOTAM AIP ENR 1.1 issued 14 September 2017 (see Appendix 1 of this CZIB).
United States Federal Aviation Administration KICZ NOTAM A0003/18 issued 26 February 2018 (see Appendix 2).

"
"Airspace of North Korea – Pyongyang Flight Information Region",CZIB-2017-06R2,25/04/2018,,,Withdrawn,"This CZIB is revised to extend the validity period, and to amend reference publications.
","Democratic People's Republic of Korea (North Korea) airspace, Pyongyang FIR (ZKKP), any altitude.
","Democratic People's Republic of Korea ","Applies to operators",,"The Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB. 
","Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authority as appropriate. Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version). 
","


United Kingdom NOTAM V0012/17 issued 23 August 2017 (see Appendix 1 of this CZIB).
United States Federal Aviation Administration KICZ A0023/17 issued 03 November 2017 (see Appendix 2).
AIC France Circular A06/18 issued 08 February 2018 (see Appendix 3).
Germany NOTAM EDWW B1606/18 issued 13 April 2017 (see Appendix 4).

"
"Airspace of Eastern Ukraine","SIB 2014-21R1",19/02/2016,,,Withdrawn,"
12/02/2022 - Transport Canada NOTAM #F0291/22, G0153/22, H0414/22
25/07/2021 - UK DfT extends its NOTAM referring to hazardous situation airspace security warnings for Ukraine through 16/10/2021 (NOTAM EGTT V0012/21)
06/10/2021 - FAA extends SFAR 113 / KICZ A0030/21 through 27/10/2023
25/11/2021 - French DGAC issued AIC France A 18/21 canceling and superseding A 14/21

 
",,Ukraine,"National Aviation Authorities and aircraft operators",,"The Agency draws the aviation commmunity’s attention to the above referenced information. This SIB revision 1 is issued to account for amended reference publications.
","National Aviation Authorities should ensure that operators under their oversight are aware of the above referenced publications.
","


Conflict zones within Ukrainian airspace (Temporary restricted area in the eastern part of Ukraine and UK-P35Z over temporary occupied territory of the Autonomous Republic of Crimea) issued by Ukrainian Aeronautical Information Service (see Appendix 1)
AIC France Circular A 18/21 issued on 25 November 2021 by DGAC France (see Appendix 2)
United Kingdom AIP ENR 1.1 issued on 15 July 2021 (see Appendix 3)
United States Federal Aviation Administration - NOTAM KICZ A0030/21 and SFAR NO.113 issued 06 October 2021 (see Appendix 4)
Transport Canada NOTAM #F0291/22, G0153/22, H0414/22 issued on 12 February 2022 (see Appendix 5)

"